Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2007 Actual,1400000,1486000,1485000,1491000,1474000,1473000,1391000,1356000,1549000,1531000,1538000,1396000
2008 Actual,1379000,1476000,1519000,1446000,1479000,1459000,1444000,1434000,1574000,1520000,1600000,1484000
2009 Actual,1448000,1536000,1487000,1499000,1517000,1467000,1435000,1328000,1586000,1578000,1568000,1424000
2010 Actual,1474000,1538000,1489000,1500000,1530000,1492000,1473000,1412000,1615000,1622000,1541000,1457000
2011 Actual,1540000,1595000,1568000,1539000,1602000,1579000,1528000,1449000,1689000,1678000,1639000,1583000
2012 Actual,1599000,1643000,1613000,1614000,1609000,1627000,1528000,1515000,1727000,1712000,1716000,1655000
2013 Actual,1606000,1702000,1672000,1650000,1661000,1670000,1564000,1562000,1743000,1760000,1751000,1567000
2014 Actual,1651000,1734000,1665000,1682000,1700000,1650000,1603000,1582000,1739000,1816000,1831000,1589000
2015 Actual,1697000,1739000,1689000,1711000,1722000,1640000,1594000,1566000,1717000,1794000,1784000,1614000
2016 Actual,1695000,1675000,1675000,1736000,1697000,1675000,1653000,1556000,1742000,1788000,1780000,1607000
2017 Actual,1653000,1710000,1685000,1737000,1686000,1698000,1656000,1572000,1753000,1759000,1753000,1604000
2018 Actual,1608000,1731000,1700000,1689000,1679000,1710000,1595000,1530000,1754000,1682000,1705000,1544000
2019 Actual,1625000,1670000,1725000,1681000,1683000,1725000,1627000,1596000,1798000,1778000,1807000,1587000
2020 Actual,1670000,1726000,972000,205000,263000,345000,512000,586000,629000,607000,578000,486000
2021 Actual,421000,451000,509000,449000,464000,524000,604000,661000,759000,836000,856000,790000
2022 Actual,572000,775000,878000,905000,993000,1029000,1000000,1009000,1208000,1188000,1182000,1080000
2023 Actual,1117000,1168000,1190000,1198000,1239000,1237000,1217000,1213000,1377000,1343000,1331000,1220000
2024 Actual,1224000,1237000,1320000,1279000,1333000,1324000,1267000,1258000,1408000,1389000,1397000,1061000
2025 Actual,1250000,1169000,1385000,1299000,1308000,1289000,1276000,1250000,1375000,1357000,1359000,1220000
