,date,gas_price_regular
0,2007-01-01,80.1
1,2007-02-01,89.3
2,2007-03-01,101.1
3,2007-04-01,101.1
4,2007-05-01,105.5
5,2007-06-01,102.3
6,2007-07-01,101.0
7,2007-08-01,95.8
8,2007-09-01,97.2
9,2007-10-01,94.4
10,2007-11-01,99.9
11,2007-12-01,100.6
12,2008-01-01,102.5
13,2008-02-01,102.8
14,2008-03-01,106.1
15,2008-04-01,114.0
16,2008-05-01,124.6
17,2008-06-01,130.6
18,2008-07-01,132.0
19,2008-08-01,123.9
20,2008-09-01,123.7
21,2008-10-01,105.9
22,2008-11-01,82.7
23,2008-12-01,74.2
24,2009-01-01,78.9
25,2009-02-01,81.6
26,2009-03-01,84.7
27,2009-04-01,85.2
28,2009-05-01,94.4
29,2009-06-01,98.8
30,2009-07-01,93.9
31,2009-08-01,98.3
32,2009-09-01,95.3
33,2009-10-01,95.6
34,2009-11-01,98.1
35,2009-12-01,94.4
36,2010-01-01,98.9
37,2010-02-01,97.7
38,2010-03-01,100.6
39,2010-04-01,100.7
40,2010-05-01,98.2
41,2010-06-01,95.5
42,2010-07-01,103.3
43,2010-08-01,102.0
44,2010-09-01,101.0
45,2010-10-01,106.2
46,2010-11-01,108.5
47,2010-12-01,110.1
48,2011-01-01,113.6
49,2011-02-01,114.8
50,2011-03-01,121.0
51,2011-04-01,131.0
52,2011-05-01,133.5
53,2011-06-01,129.5
54,2011-07-01,129.6
55,2011-08-01,127.4
56,2011-09-01,125.3
57,2011-10-01,124.2
58,2011-11-01,121.0
59,2011-12-01,118.1
60,2012-01-01,122.1
61,2012-02-01,126.3
62,2012-03-01,131.1
63,2012-04-01,135.6
64,2012-05-01,128.9
65,2012-06-01,123.1
66,2012-07-01,125.6
67,2012-08-01,128.6
68,2012-09-01,130.5
69,2012-10-01,126.3
70,2012-11-01,122.2
71,2012-12-01,120.5
72,2013-01-01,122.5
73,2013-02-01,130.8
74,2013-03-01,130.0
75,2013-04-01,126.1
76,2013-05-01,125.4
77,2013-06-01,128.1
78,2013-07-01,131.7
79,2013-08-01,131.2
80,2013-09-01,130.7
81,2013-10-01,124.8
82,2013-11-01,124.6
83,2013-12-01,127.3
84,2014-01-01,126.6
85,2014-02-01,130.6
86,2014-03-01,131.5
87,2014-04-01,135.0
88,2014-05-01,135.8
89,2014-06-01,140.5
90,2014-07-01,136.7
91,2014-08-01,132.0
92,2014-09-01,130.1
93,2014-10-01,123.8
94,2014-11-01,114.8
95,2014-12-01,103.8
96,2015-01-01,91.0
97,2015-02-01,101.4
98,2015-03-01,105.5
99,2015-04-01,105.2
100,2015-05-01,112.6
101,2015-06-01,118.1
102,2015-07-01,121.0
103,2015-08-01,113.0
104,2015-09-01,105.2
105,2015-10-01,100.8
106,2015-11-01,103.0
107,2015-12-01,100.4
108,2016-01-01,95.7
109,2016-02-01,89.8
110,2016-03-01,92.5
111,2016-04-01,102.3
112,2016-05-01,106.1
113,2016-06-01,106.1
114,2016-07-01,102.4
115,2016-08-01,101.1
116,2016-09-01,100.9
117,2016-10-01,105.4
118,2016-11-01,101.4
119,2016-12-01,104.7
120,2017-01-01,112.8
121,2017-02-01,107.8
122,2017-03-01,107.6
123,2017-04-01,116.0
124,2017-05-01,112.0
125,2017-06-01,107.3
126,2017-07-01,109.5
127,2017-08-01,112.5
128,2017-09-01,118.2
129,2017-10-01,114.9
130,2017-11-01,122.2
131,2017-12-01,121.0
132,2018-01-01,124.5
133,2018-02-01,123.6
134,2018-03-01,126.1
135,2018-04-01,133.7
136,2018-05-01,137.3
137,2018-06-01,134.6
138,2018-07-01,135.6
139,2018-08-01,133.6
140,2018-09-01,129.3
141,2018-10-01,124.0
142,2018-11-01,111.7
143,2018-12-01,105.5
144,2019-01-01,102.4
145,2019-02-01,102.1
146,2019-03-01,115.8
147,2019-04-01,126.7
148,2019-05-01,127.7
149,2019-06-01,118.9
150,2019-07-01,125.3
151,2019-08-01,118.5
152,2019-09-01,116.7
153,2019-10-01,116.9
154,2019-11-01,116.4
155,2019-12-01,116.0
156,2020-01-01,114.6
157,2020-02-01,111.0
158,2020-03-01,86.1
159,2020-04-01,79.1
160,2020-05-01,91.2
161,2020-06-01,99.9
162,2020-07-01,104.3
163,2020-08-01,103.9
164,2020-09-01,101.8
165,2020-10-01,100.7
166,2020-11-01,99.3
167,2020-12-01,103.6
168,2021-01-01,110.9
169,2021-02-01,118.1
170,2021-03-01,123.8
171,2021-04-01,125.9
172,2021-05-01,130.2
173,2021-06-01,132.6
174,2021-07-01,136.4
175,2021-08-01,137.2
176,2021-09-01,137.9
177,2021-10-01,145.3
178,2021-11-01,144.3
179,2021-12-01,137.7
180,2022-01-01,146.1
181,2022-02-01,157.5
182,2022-03-01,173.0
183,2022-04-01,174.3
184,2022-05-01,198.0
185,2022-06-01,205.9
186,2022-07-01,180.5
187,2022-08-01,165.6
188,2022-09-01,148.7
189,2022-10-01,164.3
190,2022-11-01,161.6
191,2022-12-01,140.7
192,2023-01-01,148.6
193,2023-02-01,144.6
194,2023-03-01,145.8
195,2023-04-01,156.6
196,2023-05-01,156.1
197,2023-06-01,159.1
198,2023-07-01,162.5
199,2023-08-01,169.4
200,2023-09-01,165.6
201,2023-10-01,152.9
202,2023-11-01,148.8
203,2023-12-01,143.7
204,2024-01-01,144.2
205,2024-02-01,148.5
206,2024-03-01,153.8
207,2024-04-01,167.7
208,2024-05-01,165.5
209,2024-06-01,162.2
210,2024-07-01,166.9
211,2024-08-01,160.6
212,2024-09-01,148.6
213,2024-10-01,151.5
214,2024-11-01,152.4
215,2024-12-01,151.8
216,2025-01-01,156.0
217,2025-02-01,155.4
218,2025-03-01,153.4
219,2025-04-01,133.2
220,2025-05-01,136.4
221,2025-06-01,136.2
222,2025-07-01,135.3
223,2025-08-01,136.0
224,2025-09-01,138.9
225,2025-10-01,132.6
226,2025-11-01,137.0
227,2025-12-01,126.0
